表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
ヤマドリ,ヤマドリ|Copper Pheasant,体羽赤銅と尾羽焦茶。山の落葉林に色が浮かぶ,#894B26,体羽の赤銅,#4E382D,尾羽の焦茶,#E81934,顔皮の赤,#DFC232,首羽の金茶,s|d|dk,ラメ,ナチュラルハーモニー
キジ,キジ|Green Pheasant,胸羽緑に顔皮赤。草地の朝で鮮やかに光る,#30C761,胸羽の緑,#9F2133,顔皮の赤,#7733CB,首羽の紫,#825548,腹羽の焦茶,v|s|dp,ラメ,コンプレックスハーモニー
サンコウチョウ,サンコウチョウ|Japanese Paradise Flycatcher,頭羽黒と眼輪青が初夏の森で輪郭をつくる,#111111,頭羽の黒,#3595DE,眼輪の青,#F6F6F4,腹羽の白,#CC6032,尾羽の赤茶,s|dp|ltg,,セパレーション
コマドリ,コマドリ|Japanese Robin,胸羽橙と頭羽赤茶。谷あいの苔に色が浮かぶ,#DEAD64,胸羽の橙,#B03A28,頭羽の赤茶,#F6F6F4,腹羽の白,#327146,苔の緑,s|d|ltg,,ナチュラルハーモニー
アカヒゲ,アカヒゲ|Ryukyu Robin,胸羽橙赤に頭羽黒。南島の森で鮮やかに光る,#EA531B,胸羽の橙赤,#111111,頭羽の黒,#F6F6F4,腹羽の白,#1F4326,林床の緑,v|s|dp,,セパレーション
キレンジャク,キレンジャク|Bohemian Waxwing,冠羽薄茶と尾端黄が冬木の実で輪郭をつくる,#D7CEBC,冠羽の薄茶,#F5F18E,尾端の黄,#DE3B4D,翼斑の赤,#111111,眼帯の黒,s|d|ltg,,セパレーション
ヒレンジャク,ヒレンジャク|Japanese Waxwing,尾端赤と冠羽灰。冬空の枝に色が浮かぶ,#8A2C20,尾端の赤,#444444,冠羽の灰,#111111,喉羽の黒,#DD8B17,木の実の橙,s|dp|dk,,セパレーション
イスカ,イスカ|Red Crossbill,体羽赤に翼羽焦茶。針葉樹の森で鮮やかに光る,#BB1620,体羽の赤,#916A40,翼羽の焦茶,#111111,嘴の黒,#297F36,松葉の緑,s|d|dp,,ナチュラルハーモニー
アカコッコ,アカコッコ|Izu Thrush,胸羽橙赤と頭羽黒が島の照葉樹林で輪郭をつくる,#B66946,胸羽の橙赤,#111111,頭羽の黒,#F6F6F4,腹羽の白,#29982B,葉の緑,s|d|dp,,セパレーション
ヤンバルクイナ,ヤンバルクイナ|Okinawa Rail,嘴赤と体羽焦茶。やんばるの林床に色が浮かぶ,#E6321F,嘴の赤,#6B4A29,体羽の焦茶,#444444,腹羽の白黒縞,#1B5423,林床の緑,s|d|dk,,ナチュラルハーモニー
オオワシ,オオワシ|Steller's Sea Eagle,体羽黒に肩羽白。流氷の海で鮮やかに光る,#111111,体羽の黒,#F6F6F4,肩羽の白,#EDE73E,嘴の黄,#64C0CC,流氷の青,s|dp|ltg,,セパレーション
オジロワシ,オジロワシ|White-tailed Eagle,体羽焦茶と尾羽白が北の海岸で輪郭をつくる,#703A25,体羽の焦茶,#F6F6F4,尾羽の白,#E9DB9F,嘴の黄,#223992,海の青,s|d|ltg,,ナチュラルハーモニー
ツクシガモ,ツクシガモ|Common Shelduck,体羽白と頭羽濃緑。干潟の水面に色が浮かぶ,#F6F6F4,体羽の白,#226728,頭羽の濃緑,#AC5449,胸帯の栗茶,#D74B42,嘴の赤,s|dp|ltg,,セパレーション
アカツクシガモ,アカツクシガモ|Ruddy Shelduck,体羽橙茶に頭羽淡黄。湿地の夕光で鮮やかに光る,#E89054,体羽の橙茶,#BEA97E,頭羽の淡黄,#111111,翼先の黒,#99B6D7,水面の青,s|d|ltg,,ナチュラルハーモニー
オオマシコ,オオマシコ|Pallas's Rosefinch,体羽紅と翼羽焦茶が雪原の灌木で輪郭をつくる,#CE6191,体羽の紅,#57341C,翼羽の焦茶,#C4C4C4,額の銀白,#F6F6F4,雪の白,s|d|ltg,,カマイユ配色
ベニマシコ,ベニマシコ|Long-tailed Rosefinch,胸羽紅と翼羽茶。冬枯れの河原に色が浮かぶ,#D22E6C,胸羽の紅,#914531,翼羽の茶,#E7AEC7,腹羽の淡桃,#A17E2B,枯草の黄土,s|d|ltg,,トーナル配色
アトリ,アトリ|Brambling,胸羽橙に頭羽黒。晩秋の林で鮮やかに光る,#DD956E,胸羽の橙,#111111,頭羽の黒,#F6F6F4,肩羽の白,#865339,落葉の茶,s|d|dp,,セパレーション
アオバト,アオバト|White-bellied Green Pigeon,体羽黄緑と翼羽緑が森の樹冠で輪郭をつくる,#839E42,体羽の黄緑,#35A555,翼羽の緑,#DBB146,胸羽の淡黄,#A5D4E2,嘴の淡青,b|s|sf,,類似色相配色
レンカク,レンカク|Pheasant-tailed Jacana,顔羽白と胸羽黒。蓮池の水面に色が浮かぶ,#F6F6F4,顔羽の白,#111111,胸羽の黒,#D1C163,背羽の金茶,#31C835,蓮葉の緑,s|d|dp,,セパレーション
カスミチョウチョウウオ,カスミチョウチョウウオ|Pyramid Butterflyfish,体側白に体側黄。珊瑚礁の中層で鮮やかに光る,#F6F6F4,体側の白,#EEDD6B,体側の黄,#66523C,顔の焦茶,#2D5988,海水の青,v|b|s,,セパレーション
マンジュウイシモチ,マンジュウイシモチ|Pajama Cardinalfish,頭部黄緑と胴銀白が光の中で輪郭をつくる,#888F37,頭部の黄緑,#C4C4C4,胴の銀白,#AA2E20,斑点の赤,#111111,尾部の黒,s|d|ltg,,コンプレックスハーモニー
シチセンチョウチョウウオ,シチセンチョウチョウウオ|Sevenstripe Butterflyfish,体地白と七本帯黒。透明な礁湖に色が浮かぶ,#F6F6F4,体地の白,#111111,七本帯の黒,#EFD98A,背鰭の黄,#EB721F,尾柄の橙,v|s|dp,,リピテーション配色
ヤスジチョウチョウウオ,ヤスジチョウチョウウオ|Eightband Butterflyfish,体地淡黄に八本帯焦茶。珊瑚の陰で鮮やかに光る,#EFD06E,体地の淡黄,#6A4335,八本帯の焦茶,#F6F6F4,鰭縁の白,#3C64DA,海水の青,s|d|ltg,,リピテーション配色
ハタタテダイ,ハタタテダイ|Heniochus acuminatus,体帯白と体帯黒が礁原の水流で輪郭をつくる,#F6F6F4,体帯の白,#111111,体帯の黒,#DEC076,背鰭の黄,#345EAB,海水の青,v|s|dp,,セパレーション
ムレハタタテダイ,ムレハタタテダイ|Schooling Bannerfish,体地白と斜帯黒。外洋の群れに色が浮かぶ,#F6F6F4,体地の白,#111111,斜帯の黒,#DAC14C,背鰭の黄,#252358,外洋の藍,v|s|dp,,セパレーション
フタイロハナゴイ,フタイロハナゴイ|Bicolor Anthias,前半身紫に後半身黄。珊瑚棚の群れで鮮やかに光る,#7D288A,前半身の紫,#EEB830,後半身の黄,#DD86A6,鰭の桃,#417FD8,海水の青,v|b|s,,補色配色
ケラマハナダイ,ケラマハナダイ|Redfin Anthias,体側桃と背鰭赤が慶良間の海で輪郭をつくる,#D2979C,体側の桃,#9F1810,背鰭の赤,#F4E27F,腹部の淡黄,#85DFDC,海水の青,b|s|lt,,類似色相配色
ハナゴイ,ハナゴイ|Purple Queen,体表紫と鰭青。青い外洋に色が浮かぶ,#B340C8,体表の紫,#2179B0,鰭の青,#E5C1CB,腹部の淡桃,#312C9E,海水の藍,s|dp|d,ラメ,類似色相配色
ヤシャハゼ,ヤシャハゼ|Yasha Goby,体地白に縞赤。白砂の巣穴で鮮やかに光る,#F6F6F4,体地の白,#B92713,縞の赤,#ECF073,斑の黄,#D7BA9E,砂底の淡茶,v|s|lt,,セパレーション
プテラポゴンカウデルニィ,プテラポゴンカウデルニィ|Banggai Cardinalfish,体地銀白と縦帯黒が光の中で輪郭をつくる,#C4C4C4,体地の銀白,#111111,縦帯の黒,#F6F6F4,鰭斑の白,#4D72C8,海水の青,s|dp|ltg,,セパレーション
ギンガハゼ,ギンガハゼ|Yellow Watchman Goby,体表黄と斑点青。礁池の砂底に色が浮かぶ,#EAE998,体表の黄,#1B54B2,斑点の青,#111111,眼の黒,#F6F6F4,砂底の白,v|b|dp,,対照色相配色
ヤマブキハゼ,ヤマブキハゼ|Yellow Prawn-goby,体表山吹黄に小斑青。白砂の斜面で鮮やかに光る,#F3F064,体表の山吹黄,#294CD9,小斑の青,#111111,眼の黒,#F6F6F4,砂底の白,v|b|dp,,対照色相配色
ヒレグロコショウダイ,ヒレグロコショウダイ|Spotted Sweetlips,体地白と斑点黒が岩陰の水底で輪郭をつくる,#F6F6F4,体地の白,#111111,斑点の黒,#D8CE50,鰭の黄,#DBA08C,珊瑚の桃,s|dp|ltg,,リピテーション配色
チョウチョウコショウダイ,チョウチョウコショウダイ|Harlequin Sweetlips,体地白と斑点黒。珊瑚の洞窟に色が浮かぶ,#F6F6F4,体地の白,#111111,斑点の黒,#EFDA55,鰭の黄,#C66C1A,口元の橙,v|s|dp,,リピテーション配色
イナズマヤッコ,イナズマヤッコ|Majestic Angelfish,体表濃青に体帯黄。深い珊瑚礁で鮮やかに光る,#4597C3,体表の濃青,#E4E678,体帯の黄,#111111,顔の黒,#233153,鰭縁の青,v|s|dp,,補色配色
ツユベラ,ツユベラ|Yellowtail Coris,体表赤と斑点白が砂地の珊瑚礁で輪郭をつくる,#D5415B,体表の赤,#F6F6F4,斑点の白,#E6C05B,尾鰭の黄,#317BC1,海水の青,v|s|dp,,対照色相配色
ホンソメワケベラ,ホンソメワケベラ|Bluestreak Cleaner Wrasse,体側青と縦帯黒。掃除場の岩棚に色が浮かぶ,#1D48B2,体側の青,#111111,縦帯の黒,#F6F6F4,腹部の白,#986431,岩棚の茶,s|dp|ltg,,セパレーション
カンムリベラ,カンムリベラ|Formosa Wrasse,体表緑に斑紋赤。浅場の岩礁で鮮やかに光る,#40B541,体表の緑,#931B1E,斑紋の赤,#2F759C,顔線の青,#F6F6F4,腹部の白,v|s|dp,,コンプレックスハーモニー
