表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
アカショウビン,アカショウビン|ruddy kingfisher,赤褐色の羽、青白い嘴が夏の森に響く,#975143,体羽の赤褐色,#89B6D9,嘴の青白,#694334,翼陰の焦茶,#F6F6F4,喉羽の白,s|d|ltg,,ナチュラルハーモニー
ヤイロチョウ,ヤイロチョウ|fairy pitta,緑の背、青い翼、赤い腹が森床に瞬く,#3E994E,背羽の緑,#2C7BAB,翼羽の青,#A51B2B,腹羽の赤,#F6F6F4,喉羽の白,v|s|dp,,中差色相配色
ブッポウソウ,ブッポウソウ|Oriental dollarbird,青緑の翼と黒い頭、赤い嘴が空を切る,#37837B,翼羽の青緑,#111111,頭羽の黒,#D6382D,嘴の赤,#78AECC,翼斑の淡青,s|dp|ltg,,セパレーション
キビタキ,キビタキ|narcissus flycatcher,黄いろい眉と胸、黒白の翼が木陰に映える,#DEDA77,眉斑の黄,#D8865A,胸羽の黄橙,#111111,翼羽の黒,#F6F6F4,翼斑の白,v|s|dp,,セパレーション
オオルリ,オオルリ|blue-and-white flycatcher,瑠璃の背、白い腹、黒い顔が渓谷に冴える,#354C99,背羽の瑠璃,#F6F6F4,腹羽の白,#111111,顔羽の黒,#1E2841,翼陰の濃藍,s|dp|dk,,セパレーション
ルリビタキ,ルリビタキ|red-flanked bluetail,青い尾と橙の脇、白い腹が冬林に澄む,#3970B4,尾羽の青,#DE7930,脇羽の橙,#F6F6F4,腹羽の白,#79AFC6,背羽の灰青,s|d|ltg,,対照色相配色
ノゴマ,ノゴマ|Siberian rubythroat,喉の紅、灰褐色の背と白い腹が草地に立つ,#A91C29,喉羽の紅,#7A6A57,背羽の灰褐色,#F6F6F4,腹羽の白,#893E2F,尾羽の焦茶,s|d|ltg,,ナチュラルハーモニー
ソウシチョウ,ソウシチョウ|red-billed leiothrix,黄橙の喉、赤い嘴と緑の翼が笹藪に光る,#D5861A,喉羽の黄橙,#B22E2D,嘴の赤,#459541,翼羽の緑,#D9CF51,目周りの黄,v|b|s,,類似色相配色
アカゲラ,アカゲラ|great spotted woodpecker,白黒の羽に後頭の赤、森の幹を叩く,#111111,翼羽の黒,#F6F6F4,肩羽の白,#D3322B,後頭の赤,#715344,幹の木茶,s|dp|dk,,セパレーション
アオゲラ,アオゲラ|Japanese green woodpecker,苔色の背、赤い頭頂と灰白の腹が樹間に溶ける,#8E944D,背羽の苔緑,#D2273B,頭頂の赤,#C8C6BE,腹羽の灰白,#E3DA6E,嘴の淡黄,s|d|ltg,,ナチュラルハーモニー
ミヤマカラスアゲハ,ミヤマカラスアゲハ|Alpine black swallowtail,黒い翅に青緑の金属光、赤斑が深く灯る,#111111,翅の黒,#336A70,翅表の青緑,#A52118,後翅の赤斑,#2673B8,鱗粉の青,s|dp|dk,ラメ,コンプレックスハーモニー
カラスアゲハ,カラスアゲハ|spangle butterfly,黒い翅を青緑の光沢が横切り赤斑が締める,#111111,翅の黒,#4EC4D1,鱗粉の緑青,#C06781,後翅の赤斑,#233A5D,翅脈の濃藍,s|dp|dk,ラメ,コンプレックスハーモニー
アカエリトリバネアゲハ,アカエリトリバネアゲハ|Rajah Brooke's birdwing,漆黒の翅に緑の帯、首元の赤が鮮烈,#111111,翅の黒,#3D8E53,翅帯の緑,#A92130,胸部の赤,#F6F6F4,斑紋の白,v|s|dp,,セパレーション
ニジイロクワガタ,ニジイロクワガタ|rainbow stag beetle,金緑から紫へ変わる甲、黒い脚が艶を締める,#46AF75,上翅の金緑,#7338AC,胸部の紫,#111111,脚の黒,#9D4F3F,甲の銅赤,s|dp|d,ラメ,コンプレックスハーモニー
ハンミョウ,ハンミョウ|tiger beetle,金属青緑の背に赤紫、白斑が石畳で光る,#38757A,上翅の青緑,#863FB5,上翅の赤紫,#F6F6F4,斑紋の白,#8C4C2E,脚の銅赤,s|dp|ltg,ラメ,コンプレックスハーモニー
オオセンチコガネ,オオセンチコガネ|earth-boring dung beetle,紫青の金属光、緑の反射が森床で鈍く光る,#802D91,上翅の紫,#295BB6,甲の青,#31984D,反射の緑,#111111,脚の黒,s|dp|dk,ラメ,類似色相配色
ルリボシカミキリ,ルリボシカミキリ|blue longhorn beetle,淡い青の翅に黒い斑、灰白の木肌に溶ける,#7DB9CE,上翅の淡青,#111111,斑点の黒,#2D55AE,触角の青灰,#C3C0B6,樹皮の灰白,s|ltg|dp,ツヤケシ,セパレーション
ベニカミキリ,ベニカミキリ|red longhorn beetle,鮮紅の翅と黒い頭、若葉の緑に強く映える,#9B272D,上翅の鮮紅,#111111,頭部の黒,#D5C287,竹の淡黄,#389738,若葉の緑,v|s|dp,,対照色相配色
