表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
カワセミ,カワセミ|kingfisher,水辺を切る瑠璃と橙、白い光が走る,#2D5F9A,背羽の瑠璃,#DC6B2E,腹羽の橙,#52A9B0,水面の青緑,#242424,長い嘴の墨,v|dp,,補色配色
モルフォチョウ,モルフォチョウ|ブルーモルフォ|blue morpho,金属のような青い翅が熱帯林で瞬く,#326F9C,モルフォの青,#6E4938,翅裏の褐色,#B9BFC5,鱗粉の白光,#315840,熱帯林の深緑,v|dk,ラメ,対照色相配色
オオムラサキ,オオムラサキ|great purple emperor,紫紺の翅に白斑が雑木林で鮮やかに浮く,#765489,翅の紫紺,#F5F1E8,翅の白斑,#674630,翅裏の褐色,#31523C,雑木林の緑,dp|dk,,対照トーン配色
タマムシ,タマムシ|玉虫|jewel beetle,緑から紫へ揺れる金属光沢の翅がきらめく,#237851,玉虫の緑,#694888,玉虫の紫,#C19F30,翅の金光,#222521,脚の黒,v|dp,ラメ,類似色相配色
ベニコンゴウインコ,ベニコンゴウインコ|scarlet macaw,朱赤の羽に青と黄が大胆に重なる,#C63E38,胸羽の朱赤,#255B91,翼羽の青,#D0BA27,翼の黄,#4E7C54,尾羽の緑,v,,対照色相配色
ルリコンゴウインコ,ルリコンゴウインコ|blue and yellow macaw,青い翼と黄金色の胸が南国を彩る,#285998,翼羽の瑠璃,#C69D3B,胸羽の黄金,#24292B,嘴の黒,#4B7D50,熱帯葉の緑,v|dp,,補色配色
フラミンゴ,フラミンゴ|flamingo,珊瑚色の羽が塩湖の淡い青に映える,#D98A9D,羽の桃色,#DC7664,脚の珊瑚色,#4FAAAC,浅瀬の青緑,#EDECDE,塩湖の白,b|lt,,類似色相配色
オシドリ,オシドリ|mandarin duck,橙の帆羽と紫褐色が水面で重なる,#D36824,帆羽の橙,#765B91,胸の紫,#6B4337,脇羽の栗色,#317379,水面の青緑,v|dp,,中差色相配色
タンチョウ,タンチョウ|丹頂鶴|red crowned crane,白黒の羽に頭頂の赤が一点映える,#F2EAE6,羽の白,#1B2123,翼端の黒,#BE3B30,頭頂の赤,#858A8F,湿原の灰,v|g,,セパレーション
ニシキテグリ,ニシキテグリ|mandarinfish|mandarin fish,青緑と橙の渦模様が珊瑚礁で踊る,#3E9A9A,体表の青緑,#D8642E,渦模様の橙,#296B93,鰭の青,#D6B734,縁取りの黄,v,,対照色相配色
カクレクマノミ,カクレクマノミ|clownfish|ニモ,橙の体を白帯と黒縁がくっきり分ける,#DF7237,体の橙,#F5F8F1,白い帯,#241F1D,鰭縁の黒,#55A8B4,イソギンチャクの青緑,v|dk,,セパレーション
ナンヨウハギ,ナンヨウハギ|blue tang,鮮青の体に黒線と黄色い尾が走る,#2D699A,体の鮮青,#2C2725,体側の黒線,#DBC53F,尾鰭の黄,#4BAFB9,礁湖の青緑,v,,対照色相配色
タテジマキンチャクダイ,タテジマキンチャクダイ|emperor angelfish,群青に黄色い縞が幾重にも流れる,#31506D,体の群青,#DCC534,横縞の黄,#2875A5,鰭の青,#2C2C2C,顔の黒帯,v|dp,,補色配色
アイゾメヤドクガエル,アイゾメヤドクガエル|blue poison dart frog,青い皮膚に黒斑が強烈な警告色を作る,#36759E,皮膚の青,#1C1C1C,黒い斑点,#3FA5AE,湿った青緑,#517B58,熱帯葉の緑,v|dk,ツヤケシ,類似色相配色
アカメアマガエル,アカメアマガエル|red eyed tree frog,緑の体に赤い眼と青い脇腹が光る,#4C825C,体の緑,#C94740,眼の赤,#176B9A,脇腹の青,#E0722E,指先の橙,v,ツヤケシ,対照色相配色
ナナホシテントウ,ナナホシテントウ|てんとう虫|seven spotted ladybird,赤い翅に七つの黒点がくっきり並ぶ,#CA4639,翅の赤,#222A28,七つの黒点,#427853,葉の緑,#E9EDE6,翅の反射白,v|dk,,セパレーション
アカハライモリ,アカハライモリ|Japanese fire bellied newt,黒い背と鮮やかな赤腹の対比が強い,#22201A,背の黒,#BD3B37,腹の赤,#747B52,水草の緑,#7E8686,湿石の灰,v|dk,ツヤケシ,対照トーン配色
オオゴマダラ,オオゴマダラ|paper kite butterfly,白い大翅を黒い斑紋が静かに縁取る,#F5EADF,翅の白,#1A1D19,翅脈の黒,#E7DCC7,翅の乳白,#4F764C,南国葉の緑,p|dk,,セパレーション
アオスジアゲハ,アオスジアゲハ|common bluebottle,黒い翅を青緑の帯が夏空の下で横切る,#211A1C,翅の黒,#57A3A7,青緑の帯,#598055,葉の緑,#FDF6F2,翅の光,v|dk,,セパレーション
オオカバマダラ,オオカバマダラ|monarch butterfly,橙の翅を黒い脈と白点が鮮やかに縁取る,#D3682D,翅の橙,#191C21,翅脈の黒,#F8F1E0,縁の白点,#58865E,トウワタの緑,v|dk,,セパレーション
ケツァール,ケツァール|quetzal|resplendent quetzal,宝石緑の長い尾羽に真紅の胸が映える,#2C7758,尾羽の宝石緑,#C23530,胸羽の真紅,#CCA93B,嘴の黄,#2C221F,翼の黒,v|dp,ラメ,補色配色
赤べこ,赤べこ|あかべこ|Akabeko,朱い張子に黒斑、会津の素朴な縁起色,#D84A35,赤べこの朱,#322A2D,黒い斑点,#EAE6DD,張子の白,#CFBA33,首輪の黄,v|dk,ツヤケシ,セパレーション
さるぼぼ,さるぼぼ|Sarubobo,飛騨の赤布に黒頭巾と金文字が映える,#CE4140,胴の赤布,#1A2629,頭巾の黒,#C09F3A,腹当ての金文字,#F2F1F0,腹当ての白,v|dk,,セパレーション
黄鮒,黄鮒|きぶな|Kibuna,黄色い鮒に赤緑を添えた宇都宮の縁起物,#D7B728,黄鮒の黄,#CF4139,口元の赤,#44724B,鰭の緑,#2C2D27,輪郭の墨,v|dp,ツヤケシ,対照色相配色
木うそ,木うそ|きうそ|Kiuso,木肌に緑赤金、太宰府の削り跡が残る,#D5C4A2,木肌の生成り,#5C7F59,頭部の緑,#C14438,嘴元の赤,#C79C31,彩色の金,b|dp,ツヤケシ,ナチュラルハーモニー
犬張子,犬張子|いぬはりこ|Inu Hariko,白い張子に赤首輪、藍と金の祝い模様,#E6E6E4,張子の白,#D24941,首輪の赤,#2C5675,腹掛けの藍,#D1A745,祝い模様の金,v|lt,,対照トーン配色
張子虎,張子虎|はりことら|Hariko Tiger,黄土の虎に黒縞と朱口、紙肌が軽やか,#B98645,虎の黄土,#231E25,縞の黒,#C53E3F,口の朱,#FAEFF0,目元の白,v|dp,ツヤケシ,セパレーション
起き上がり小法師,起き上がり小法師|おきあがりこぼし|Okiagari Koboshi,赤い胴と白い顔、会津の小さな祈り色,#CB3738,胴の赤,#EDE5D5,顔の白,#2C2124,目鼻の墨,#CAA331,縁取りの金,v|dk,ツヤケシ,セパレーション
鳩笛,鳩笛|はとぶえ|Hato-bue,土の白に赤青模様、素朴な笛の彩り,#E4D5C5,土笛の白,#BE2B2F,羽模様の赤,#396993,羽模様の青,#2C2820,目の墨,s|dp,ツヤケシ,対照色相配色
鯛車,鯛車|たいぐるま|Tai-guruma,朱い鯛に金鱗と黒目、車輪が祭りを運ぶ,#D44134,鯛の朱,#D5AE46,鱗の金,#1C2621,大きな黒目,#F0F3E0,腹の白,v|dp,,セパレーション
姫だるま,姫だるま|Hime Daruma,白い顔に紅と金、衣の彩色が華やぐ,#E9F4F0,顔の白,#B86576,頬と口紅,#BD9830,衣の金,#7A5A8B,衣模様の紫,b|dp,,中差色相配色
青森ねぶた祭,青森ねぶた祭|ねぶた|Aomori Nebuta,武者絵の朱と群青、灯りが夜に燃える,#D24A48,ねぶたの朱,#2365A3,武者絵の群青,#E2C240,内灯の黄,#1D3557,祭り夜の紺,v|dk,ラメ,対照色相配色
秋田竿燈まつり,秋田竿燈まつり|竿燈|Akita Kanto,提灯の黄金が幾重にも夏夜へ浮かぶ,#C8A344,提灯の黄金,#EAE3C9,和紙の生成り,#16314F,夜空の紺,#CB3731,提灯文字の朱,b|dk,ラメ,対照トーン配色
仙台七夕まつり,仙台七夕まつり|仙台七夕|Sendai Tanabata,吹流しの青赤黄が街路を長く揺れる,#3A73A5,吹流しの青,#D74342,吹流しの赤,#E3C235,吹流しの黄,#E9F5E8,和紙の白,v|lt,,対照色相配色
山形花笠まつり,山形花笠まつり|花笠|Yamagata Hanagasa,紅花の赤と笠の黄、踊りの列が華やぐ,#CA383F,紅花の赤,#DABE27,花笠の黄,#4C7748,飾り葉の緑,#214C6B,踊り衣装の藍,v|dp,,対照色相配色
