表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
ショウジョウトキ,ショウジョウトキ|scarlet ibis,湿地に燃える朱、黒い翼が空を切る,#D26F56,羽の朱,#1D1F30,風切羽の黒,#D24A5D,嘴の灰桃,#94B4C7,湿地の水青,v|s|dp,,対照色相配色
ライラックニシブッポウソウ,ライラックニシブッポウソウ|lilac-breasted roller,藤紫の胸に空色、乾いた草原の宝石,#51376F,胸羽の藤紫,#80C8E2,腹羽の空青,#4963C8,翼の群青,#232429,目元の黒,v|b|s,ラメ,類似色相配色
コキンチョウ,コキンチョウ|Gouldian finch,赤い顔、紫の胸、緑と黄が小さく響く,#CF6338,顔の緋,#47A06B,背羽の緑,#923BAC,胸羽の紫,#E5A933,腹羽の黄,v|b,,中差色相配色
キンケイ,キンケイ|golden pheasant,金の冠と朱の胸、尾羽に森の影が走る,#D7AC20,冠羽の金,#AB4B2F,胸羽の朱,#25663E,背羽の緑,#894D2B,尾羽の焦茶,v|s|dp,ラメ,ナチュラルハーモニー
ギンケイ,ギンケイ|Lady Amherst's pheasant,銀白の冠、藍と紅が長い尾羽を飾る,#C9D2D6,冠羽の銀白,#332A88,首羽の藍,#E33272,胸元の紅,#3F3F4A,尾羽の墨黒,s|dp|ltg,,セパレーション
ミノバト,ミノバト|Nicobar pigeon,玉虫の首羽、銅と青緑が森陰で光る,#39AA93,首羽の玉虫緑,#683488,翼の銅紫,#6689C2,胸羽の灰青,#EEEBE3,尾羽の白,s|dp|ltg,ラメ,コンプレックスハーモニー
テリムクドリ,テリムクドリ|superb starling,青緑の光沢と橙の腹、白帯が際立つ,#2E6256,背羽の青緑,#DD9019,腹羽の橙,#D9BDB7,胸帯の白,#172537,翼の深紺,v|s|dp,ラメ,対照色相配色
アオアシカツオドリ,アオアシカツオドリ|blue-footed booby,鮮烈な青い脚、白い腹と灰青の海風をまとう,#70B6C3,脚の青,#D1CBC8,腹羽の白,#857150,翼の焦茶,#254184,嘴の灰青,b|s|ltg,,対照トーン配色
ハチクイ,ハチクイ|European bee-eater,栗茶の背、黄いろい喉、腹に澄んだ青,#6F2827,背羽の栗茶,#F1D784,喉羽の黄,#24AE85,腹羽の青緑,#484E57,目元の黒,v|s|dp,,ナチュラルハーモニー
ニジキジ,ニジキジ|Himalayan monal,金属青と緑、銅赤が高地の光を返す,#349A32,頭羽の金属緑,#164A80,首羽の青,#B8542F,背羽の銅赤,#1D1F22,翼の黒,v|s|dp,ラメ,コンプレックスハーモニー
ニシキオオツバメガ,ニシキオオツバメガ|Madagascan sunset moth,夕焼けの赤橙に青緑、黒い縁がきらめく,#C15120,翅の赤橙,#61B7B8,翅の青緑,#0F1215,翅脈の黒,#BD9430,斑紋の金,v|b|s,ラメ,補色配色
アカスジキンカメムシ,アカスジキンカメムシ|jewel bug,金緑の甲に赤い筋、黒点が宝石を締める,#396A49,甲の金緑,#BD2245,背の赤筋,#131422,斑点の黒,#1C5160,縁の青緑,v|s|dp,ラメ,対照色相配色
ルリタテハ,ルリタテハ|blue admiral butterfly,黒い翅を瑠璃帯が横切り、白斑が光る,#0E0E19,翅の墨黒,#2C7DC6,帯紋の瑠璃,#CFBBB4,前翅の白斑,#413A2A,翅裏の樹皮茶,s|dp|dk,,セパレーション
アサギマダラ,アサギマダラ|chestnut tiger butterfly,浅葱の翅を黒脈が区切り、栗色が滲む,#42AEAD,翅の浅葱,#1B2229,翅脈の黒,#A5543C,後翅の栗茶,#DBDACD,斑紋の白,s|ltg|dp,,セパレーション
ヒョウモンダコ,ヒョウモンダコ|blue-ringed octopus,黄褐色の肌に青い環、危険色が瞬く,#306284,環紋の青,#B48B60,体表の黄褐色,#DED7D3,吸盤の白,#343451,斑点の黒,v|s|dp,ラメ,対照色相配色
アオウミウシ,アオウミウシ|blue dragon nudibranch|Hypselodoris festiva,海青の体に黄線と黒点、白縁が冴える,#276FAB,体表の海青,#EBCB91,縁取りの黄,#3E4752,斑点の黒,#D1CDB6,触角の白,v|b|dp,,対照色相配色
ミカドウミウシ,ミカドウミウシ|Spanish dancer nudibranch,朱赤の外套膜、白斑と橙が波打って踊る,#DB7544,外套膜の朱赤,#CFC9B9,斑紋の白,#D09832,縁の橙,#CC1C25,鰓の紅,v|s|dp,,同一色相配色
ロイヤルグラマ,ロイヤルグラマ|royal gramma,紫から黄へ鮮やかに切り替わる小さな魚,#533584,前身の紫,#E5D99A,後身の黄,#17182C,目線の黒,#1B2840,鰭の青紫,v|b|s,,補色配色
モンガラカワハギ,モンガラカワハギ|clown triggerfish,黒地の白水玉、口元の黄が南海に映える,#2C2F3C,体表の墨黒,#D8CABF,腹の白斑,#DAE579,口元の黄,#3152D1,背の青斑,v|s|dp,,セパレーション
アキレスニザ,アキレスニザ|Achilles tang,漆黒の体に橙の涙型、青い縁が走る,#121B1F,体表の漆黒,#E04C26,側面の橙斑,#1C427C,鰭縁の青,#E5E3D2,尾柄の白,v|dp|dk,,対照色相配色
エメラルドツリーボア,エメラルドツリーボア|emerald tree boa,翡翠の体に白い帯、黄金の眼が森を射る,#3B705D,鱗の翡翠緑,#D9BBAF,背中の白帯,#BE8B2E,眼の黄金,#886E36,枝の焦茶,s|dp|ltg,,ナチュラルハーモニー
ブルーイグアナ,ブルーイグアナ|blue iguana,石灰青の鱗、黒い爪と琥珀眼が乾地に映る,#2742C4,鱗の石灰青,#17162E,爪の黒,#A78C31,眼の琥珀,#D5C7B5,岩場の砂色,s|d|ltg,ツヤケシ,ナチュラルハーモニー
モウドクフキヤガエル,モウドクフキヤガエル|golden poison frog,鮮黄の皮膚、黒い瞳が熱帯の緑に浮かぶ,#F1F5B8,皮膚の鮮黄,#2B353E,瞳の黒,#3B714C,葉の濃緑,#75798A,濡れた石の灰,v|b|dp,,対照色相配色
コンゴウフグ,コンゴウフグ|yellow boxfish,黄色い体に黒点、青い海が輪郭を澄ませる,#D3EB44,体表の黄,#253448,斑点の黒,#2C7CCA,口元の青灰,#DED0BD,珊瑚砂の白,v|b|s,,セパレーション
三春駒,三春駒|Miharu-goma|Miharu horse,黒駒と白駒、赤金の飾りに紺の鞍が映える,#18262C,黒駒の漆黒,#DED9BB,白駒の木地白,#822A4B,飾りの赤,#12153A,鞍の紺,s|dp|dk,ツヤケシ,セパレーション
八幡馬,八幡馬|Yawata-uma|Yawata horse,黒い馬体に紅白と金、盛装馬の華やぎ,#282C2F,馬体の黒,#AA3E5B,飾りの紅,#E2DBC4,飾りの白,#CBB721,金泥の金,s|dp|dk,,セパレーション
きじ馬,きじ馬|Kijiuma|Kiji horse,黄緑赤の素朴な彩色、木肌が球磨を残す,#DDE89A,胴の黄,#44BF37,胴の緑,#AF3B61,模様の赤,#6D5027,木地の茶,v|s|d,ツヤケシ,中差色相配色
花手箱,花手箱|Hanatebako|flower hand box,白地に椿の赤と葉の緑、木箱の温もり,#ECE1D9,地塗りの白,#872D48,椿の赤,#19703E,椿葉の緑,#997052,木箱の茶,v|s|ltg,ツヤケシ,対照色相配色
肥後まり,肥後まり|Higo mari|Higo temari,草木染めの糸が幾何学に重なる手まり,#B6394D,茜糸の赤,#284DA7,藍糸の青,#DFCD53,刈安糸の黄,#E0CEA6,木綿糸の生成り,s|d|lt,ツヤケシ,リピテーション配色
博多人形,博多人形|Hakata doll|Hakata ningyo,胡粉の肌、朱唇と黒髪、金彩が静かに映える,#C7B396,胡粉の肌白,#D65250,唇の朱,#201F3B,髪の墨黒,#AB923F,衣装の金彩,s|lt|dk,,セパレーション
伏見人形,伏見人形|Fushimi doll|Fushimi ningyo,土人形の白地に朱と緑、素朴な金が残る,#C6BFBD,胡粉の白,#D45530,顔料の朱,#50B776,衣の緑,#C09A52,飾りの黄土,v|s|d,ツヤケシ,ナチュラルハーモニー
今戸人形,今戸人形|Imado doll|Imado ningyo,土の白肌、朱の彩色と墨線が江戸を語る,#DEC989,土肌の白,#C95478,彩色の朱,#314A5A,輪郭の墨,#B6813D,素焼きの土色,s|d|ltg,ツヤケシ,セパレーション
中野土人形,中野土人形|Nakano clay doll|Nakano tsuchi-ningyo,鮮やかな衣装と土肌、歌舞伎の色が弾む,#E48B61,衣装の朱,#3273DB,衣装の群青,#E9E3E0,顔の胡粉白,#1B2238,髪の墨黒,v|s|dp,ツヤケシ,対照色相配色
古賀人形,古賀人形|Koga doll|Koga ningyo,素焼きの土に赤黄緑、素朴な彩色が映える,#CBA977,素焼きの土色,#E9445C,彩色の赤,#F1E497,彩色の黄,#307F2F,彩色の緑,v|s|d,ツヤケシ,ナチュラルハーモニー
